Id|CampaignId|MerchantId|CategoryId|Title|Description|WhenStarts|WhenExpires|TermsAndConditions|WhenLastUpdated|HasBarcodeImage|RedemptionLimit|RedemptionText|RedemptionCountUnlimited|CodeType|PremiumPlacement|Status|AlternativeTitle|AlternativeDescription|AlternativeTermsAndConditions|ApplyGeoFenceFilters|PromoImage|ExtendedData|DailyStartTime|DailyEndTime|DaysOfWeek|BaseWeight|NoCompeteGroup|IsGiftable|InStoreRedemptions|IsReward|AltImage|ContentUrl|IsRespawning|RespawnsInDays|EnableDistanceWeight|TagWeights|ApplyBeaconFilter|BeaconGroupIds|IsAvailableAllStores|ConsumerTargetingFilters|OperatingConditionsFilters|ContentFilters|GeofenceIds|Subcategories
3129|42|579|38|"20180305|1_MM_Royal_Cheese|9.90|na"|1 Menu Medium Royal Cheese = Fr. 9.90|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16468351|True|1||1||||False|op3129_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
3130|42|579|41|"20180305|1_small_fries|1.50|na"|1 Small Fries|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||33021461|True|1||1||||False|op3130_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
3133|42|579|39|"20180305|4_chicken_nuggets|2.00|na"|4 Chicken McNuggets = Fr. 2.-|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||46542878|True|1||1||||False|op3133_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
3134|42|579|40|"20180305|1_HM|5.00|na"|1 Happy Meal = Fr. 5.-|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||32004977|True|1||1||||False|op3134_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferA"|
3136|43|579|38|"20180305|1_MM_Royal_Cheese|9.90|na"|1 Menu Medium Royal Cheese = Fr. 9.90|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16468351|True|1||1||||False|op3129_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_Growth_Active"|
3138|43|579|39|"20180305|1_Mc_Chicken|5.00|na"|1 McChicken = Fr. 5.-|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16471375|True|1||1||||False|op3138_en.png|{hideexpiredate:true}|||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_Growth_Active"|
3139|43|579|38|"20180305|1_MM_Big_Mac_1_Mc_Flurry|13.00|beef"|1 Menu Medium Big Mac = 1 McFlurry|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16319141|True|1||1||||False|op3139_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Beef_Sandwiches_And_Wraps_Regular, Switzerland_Growth_Active"|
3141|43|579|39|"20180305|1_MM_Mc_Chicken_1_Mc_Flurry|12.80|chicken"|1 Menu Medium McChicken = 1 McFlurry|2018-03-05 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||16324695|True|1||1||||False|op3141_en.png|{hideexpiredate:true}|||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Chicken_Sandwiches_And_Wraps_Regular, Switzerland_Growth_Active"|
3170|42|579|52|"20180305|1_mc_flurry|2.50|na"|/|2018-03-19 00:00:00 +00:00|2018-04-01 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||10883594|True|1||2||||False|op3170_en.png||||0,1,2,3,4,5,6|||False||False|||False||False||False||True|" Switzerland_CRM_OfferB"|
3219|40|579|52|"20180312|1_Cofeee_1_Croissant|2.00|na"|1 Coffee = Croissant|2018-03-12 00:00:00 +00:00|2018-03-18 23:59:00 +00:00|McDonald's behält sich das Recht vor, dieses Angebot jederzeit zurückzuziehen. Gültig nur in der Schweiz und im Fürstentum Liechtenstein. 1 Angebot gültig pro Bestellung.|2018-03-27 02:28:15 +00:00|False||18983814|True|1||1||||False|op3219_en.png||360|660|0,1,2,3,4,5,6|||False||False|||False||False||False||True||
